creationTime,0,1,2,3,4,5,6,7,8,9,10
1522630219119,chicago/traffic-lane/356/thing/traffic-lane/1522630219119,,thing/traffic-lane,,25,-1,chicago/traffic-lane/356,-87.6870370163,41.9103198343,41.9168043897,-87.6872050148
1522630219183,chicago/traffic-lane/339/thing/traffic-lane/1522630219183,,thing/traffic-lane,,21,-1,chicago/traffic-lane/339,-87.6834560431,41.7792149771,41.786527685,-87.6836472764
1522630219230,chicago/traffic-lane/361/thing/traffic-lane/1522630219230,,thing/traffic-lane,,23,-1,chicago/traffic-lane/361,-87.6879810565,41.9394597831,41.9467297764,-87.6880739349
1522630219359,chicago/traffic-lane/358/thing/traffic-lane/1522630219359,,thing/traffic-lane,,22,-1,chicago/traffic-lane/358,-87.68745819,41.9248996489,41.9279807743,-87.6875661231
1522630219395,chicago/traffic-lane/337/thing/traffic-lane/1522630219395,,thing/traffic-lane,,24,-1,chicago/traffic-lane/337,-87.6830594183,41.764701176,41.7719765782,-87.6832609507
1522630219432,chicago/traffic-lane/454/thing/traffic-lane/1522630219432,,thing/traffic-lane,,13,-1,chicago/traffic-lane/454,-87.6439701738,41.7507752434,41.7505891635,-87.6536930095
1522630219468,chicago/traffic-lane/116/thing/traffic-lane/1522630219468,,thing/traffic-lane,,24,-1,chicago/traffic-lane/116,-87.6661999959,41.8668604234,41.8741993673,-87.6664153537
1522630219557,chicago/traffic-lane/101/thing/traffic-lane/1522630219557,,thing/traffic-lane,,24,-1,chicago/traffic-lane/101,-87.6630683582,41.7430756949,41.7503560091,-87.6632541367
1522630219637,chicago/traffic-lane/112/thing/traffic-lane/1522630219637,,thing/traffic-lane,,26,-1,chicago/traffic-lane/112,-87.6653847992,41.8305002878,41.8376827898,-87.6655581444
1522630213416,chicago/traffic-lane/1209/thing/traffic-lane/1522630213416,,thing/traffic-lane,,25,-1,chicago/traffic-lane/1209,-87.64478,41.787025,41.794301,-87.64497
1522630213432,chicago/traffic-lane/1038/thing/traffic-lane/1522630213432,,thing/traffic-lane,,18,-1,chicago/traffic-lane/1038,-87.6245761907,41.8883032777,41.8869508682,-87.627973493
